,id,title,rating,user
5,11359875,الأعمال الكاملة للإمام الشيخ محمد عبده.. في تفسير القرآن الكريم: الجزء الأول,0,29
0,522776,"The Wolf of Wall Street (The Wolf of Wall Street, #1)",0,30
1,13362947,The Charm Bracelet,5,30
2,16130307,"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)",5,30
3,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",5,30
4,10282745,Something From Tiffany’s,5,30
5,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",5,30
6,11857408,"Fifty Shades Darker (Fifty Shades, #2)",5,30
7,12881778,"Fifty Shades Freed (Fifty Shades, #3)",5,30
8,14625654,Don't You Forget About Me,5,30
0,43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,0,34
1,11344876,"Many Lives, Many Masters by Brian L. Weiss Summary & Study Guide",0,34
2,8068001,The Laws of The Spirit World,4,34
3,13424848,If It's Not Forever. It's Not Love.,0,34
4,11256293,"Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny",0,34
5,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",0,34
6,7063141,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",0,34
7,6177872,"The Girl Who Played with Fire (Millennium, #2)",0,34
8,12615008,"Revolution 2020: Love, Corruption, Ambition",0,34
9,11827808,The Secret of the Nagas (Shiva Trilogy #2),0,34
10,7913305,"The Immortals of Meluha (Shiva Trilogy, #1)",0,34
11,13041934,Can Love Happen Twice?,4,34
12,13414635,"Giving Up the Ghost: A Story About Friendship, 80s Rock, a Lost Scrap of Paper, and What It Means to Be Haunted",0,34
13,52529,"The Secret (The Secret, #1)",0,34
0,292408,Angle of Repose,0,36
1,60792,The Accidental Tourist,0,36
2,16735,The Prince of Tides,0,36
3,16286,The Magus,0,36
4,6259,Birdsong: A Novel of Love and War,0,36
5,11250053,The Snow Child,0,36
6,4796,The Winter of Our Discontent,0,36
7,6101718,"The Magicians (The Magicians, #1)",0,36
8,37435,The Secret Life of Bees,0,36
9,4981,Slaughterhouse-Five,0,36
10,7331435,A Visit from the Goon Squad,0,36
11,46170,For Whom the Bell Tolls,5,36
12,11486,The Color Purple,4,36
13,890,Of Mice and Men,4,36
14,4473,A Prayer for Owen Meany,5,36
15,4588,Extremely Loud & Incredibly Close,4,36
16,5907,"The Hobbit, or There and Back Again",5,36
17,1618,The Curious Incident of the Dog in the Night-Time,4,36
18,4214,Life of Pi,4,36
19,128029,A Thousand Splendid Suns,5,36
0,38586932,Good Wood,0,37
1,25943838,The Rogue Retrieval,0,37
2,25776656,The Dark Lord,0,37
3,25543953,The Obsidian Temple,0,37
4,25817334,Desert Rising: A Desert Rising Novel,0,37
5,19217308,The Druid Way Made Easy (Made Easy (O Books)),0,37
6,17048147,Stealing Into Winter: Being the First Adventure from the Chronicles of Jeniche of Antar,0,37
7,8249523,Death Takes A Number,0,37
8,8278840,As The Wind Walks,0,37
9,17759422,Voice from the River Monogahela,0,37
10,19877051,Kill by Numb3rs,0,37
11,10599490,Wait,0,37
12,23945188,Supervision,0,37
13,25489940,A Fairy-tale Ending (Charming Tales #1-2),0,37
14,25255717,"Darkhaven (Darkhaven, #1)",0,37
15,27803195,"Goldenfire (Darkhaven, #2)",0,37
16,18339939,"Hot Lead, Cold Iron (Mick Oberon, #1)",0,37
17,4624955,"Agents of Artifice (Magic: The Gathering: Planeswalker, #1)",0,37
18,9732091,The Goblin Corps,0,37
19,17568822,"Lost Covenant (Widdershins Adventures, #3)",0,37
0,13335037,"Divergent (Divergent, #1)",0,41
1,11735983,"Insurgent (Divergent, #2)",0,41
2,9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",0,41
3,6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",3,41
4,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",3,41
5,3220405,"Ender in Exile (Ender's Saga, #1.2)",4,41
6,8647,"Shadow of the Giant (Ender's Shadow, #4)",4,41
7,234724,"Shadow Puppets (The Shadow Series, #3)",5,41
8,9534,"Shadow of the Hegemon (The Shadow Series, #2)",5,41
9,31360,"Children of the Mind (Ender's Saga, #4)",4,41
10,8648,"Xenocide (Ender's Saga, #3)",4,41
11,7967,"Speaker for the Dead (Ender's Saga, #2)",4,41
12,9532,"Ender's Shadow (The Shadow Series, #1)",5,41
13,375802,"Ender's Game (Ender's Saga, #1)",5,41
14,65641,"The Silver Chair (Chronicles of Narnia, #4)",5,41
15,84119,"The Horse and His Boy (Chronicles of Narnia, #5)",5,41
16,121749,"Prince Caspian (Chronicles of Narnia, #2)",5,41
17,65605,"The Magician's Nephew (Chronicles of Narnia, #6)",5,41
18,140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",5,41
19,11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",5,41
0,18170549,The Opposite of Loneliness: Essays and Stories,0,43
1,13539044,The Silver Linings Playbook,0,43
2,22628,The Perks of Being a Wallflower,0,43
3,8694522,"The Witch's Daughter (The Witch's Daughter, #1)",0,43
4,9361589,The Night Circus,0,43
5,8908,World War Z: An Oral History of the Zombie War,0,43
6,11447921,Beautiful Ruins,0,43
7,890,Of Mice and Men,0,43
8,949206,Milk Eggs Vodka: Grocery Lists Lost and Found,4,43
9,1094087,Off the Record,4,43
10,2029177,Sundays at Tiffany's,3,43
11,2318271,The Last Lecture,0,43
12,3975774,"Evermore (The Immortals, #1)",3,43
13,22232,"Stargirl (Stargirl, #1)",3,43
14,43641,Water for Elephants,4,43
15,12232938,The Lovely Bones,4,43
16,82970,Lucky,4,43
17,7907803,An Object of Beauty,0,43
18,6927668,The Selby is in Your Place,5,43
19,97084,Apathy and Other Small Victories,0,43
0,11178225,Out of the Easy,0,44
1,5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",5,44
2,3869,A Brief History of Time,4,44
